File Path,File Id,Class Name,Class Id,StartLine,EndLine,Cyclometric Density,Decision Density,Essential Density,Branch Count,Condition Count,Cyclometric Complexity,Decision Count,Essential Complexity,LOC,Total Operands,Total Operators,Unique Operands Count,Unique Operators Count,Halstead Difficulty,Halstead Length,Halstead Level,Halstead Programming Effort,Halstead Programming Time,Halstead Volume,Maintenance Severity,Coupling Between Objects,Fan In,Number of Children,Percentage of Pub Data,Response for Class,Weighted Methods,Defected?(false/true) 
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\FunctionAnalyzer.java,69,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.FunctionAnalyzer,345,15011,15290,88,1.5918367346938775,0.3793103448275862,50,78,3.1818181818181817,49,34,280,357,339,90,26,51.56666666666666,696,0.019392372333548805,2.0644579892269186,0.11469211051260658,0.04003473799405789,0.38636363636363635,7,0,0,0.0,8,8,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\InvalidParameterException.java,80,.InvalidParameterException,81,10744,10750,2,0.0,1.0,0,0,3.5,0,2,7,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\InvalidParameterException.java,80,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.InvalidParameterException,355,15296,15302,2,0.0,1.0,0,0,3.5,0,2,7,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\Main.java,83,.Main,84,10756,10795,8,0.0,0.7142857142857143,4,0,5.0,1,6,40,22,25,16,10,6.874999999999999,47,0.14545454545454548,1.414973347970818,0.07860963044282322,0.20581430515939172,0.75,1,0,0,0.0,2,2,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\Main.java,83,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.Main,357,15308,15347,8,0.0,0.7142857142857143,4,0,5.0,1,6,40,22,25,16,10,6.874999999999999,47,0.14545454545454548,1.414973347970818,0.07860963044282322,0.20581430515939172,0.75,1,0,0,0.0,2,2,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\OperatorAnalyzer.java,87,.OperatorAnalyzer,88,10805,11096,85,1.6304347826086956,0.35714285714285715,48,75,3.4352941176470586,46,31,292,278,288,59,28,65.96610169491525,566,0.015159301130524152,1.9395192526186185,0.10775106958992325,0.029401756398894783,0.36470588235294116,1,2,0,0.0,8,8,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\OperatorAnalyzer.java,87,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.OperatorAnalyzer,360,15357,15648,84,1.6304347826086956,0.3493975903614458,48,75,3.4761904761904763,46,30,292,278,288,59,28,65.96610169491525,566,0.015159301130524152,1.9395192526186185,0.10775106958992325,0.029401756398894783,0.35714285714285715,1,0,0,0.0,8,8,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\ParsedObjectManager.java,98,.ParsedObjectManager,99,0,0,19,0.0,1.0,0,0,0.0,0,19,0,15,14,3,1,2.5,29,0.4,0.6020599913279624,0.03344777729599791,0.24082399653118497,1.0,6,6,0,21.428572,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\ParsedObjectManager.java,98,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager,370,0,0,14,0.0,1.0,0,0,0.0,0,14,0,15,14,3,1,2.5,29,0.4,0.6020599913279624,0.03344777729599791,0.24082399653118497,1.0,6,0,0,21.428572,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\PreprocessorPass.java,100,.ParsedObjectManager.PreprocessorPass,101,11142,11289,47,1.4444444444444444,0.5869565217391305,22,26,3.148936170212766,18,28,148,186,158,62,23,34.5,344,0.028985507246376812,1.9294189257142926,0.10718994031746071,0.055925186252588195,0.5957446808510638,0,2,0,20.0,6,6,false
