File Path,File Id,Class Name,Class Id,StartLine,EndLine,Cyclometric Density,Decision Density,Essential Density,Branch Count,Condition Count,Cyclometric Complexity,Decision Count,Essential Complexity,LOC,Total Operands,Total Operators,Unique Operands Count,Unique Operators Count,Halstead Difficulty,Halstead Length,Halstead Level,Halstead Programming Effort,Halstead Programming Time,Halstead Volume,Maintenance Severity,Coupling Between Objects,Fan In,Number of Children,Percentage of Pub Data,Response for Class,Weighted Methods,Defected?(false/true) 
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\parameter\VariableToken.java,186,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VariableToken,187,12384,12396,5,0.0,1.0,0,0,2.6,0,5,13,1,1,1,1,0.5,2,2.0,0.3010299956639812,0.016723888647998956,0.6020599913279624,1.0,0,0,0,100.0,1,1,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\utils\parameter\VariableToken.java,186,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VariableToken,441,16936,16948,5,0.0,1.0,0,0,2.6,0,5,13,1,1,1,1,0.5,2,2.0,0.3010299956639812,0.016723888647998956,0.6020599913279624,1.0,0,0,0,100.0,1,1,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppStructures\CppClass.java,211,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppClass,212,13001,13048,44,1.8,0.8837209302325582,5,9,1.0909090909090908,5,39,48,30,32,18,10,8.333333333333332,62,0.12000000000000001,1.4471580313422192,0.08039766840790107,0.17365896376106632,0.8863636363636364,0,10,0,0.0,2,2,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppStructures\CppClass.java,211,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppClass,461,17553,17600,14,1.8,0.6153846153846154,5,9,3.4285714285714284,5,9,48,30,32,18,10,8.333333333333332,62,0.12000000000000001,1.4471580313422192,0.08039766840790107,0.17365896376106632,0.6428571428571429,0,0,0,0.0,2,2,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppStructures\CppDefine.java,217,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppDefine,218,13056,13115,39,1.0,0.9736842105263158,1,1,1.5384615384615385,1,38,60,24,20,6,5,10.0,44,0.09999999999999999,1.041392685158225,0.05785514917545694,0.1041392685158225,0.9743589743589743,0,4,0,0.0,5,5,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppStructures\CppDefine.java,217,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppDefine,466,17608,17667,19,1.0,0.9444444444444444,1,1,3.1578947368421053,1,18,60,24,20,6,5,10.0,44,0.09999999999999999,1.041392685158225,0.05785514917545694,0.1041392685158225,0.9473684210526315,0,0,0,0.0,5,5,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppStructures\CppFile.java,226,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFile,227,13126,13232,56,1.2,0.8363636363636363,11,12,1.9107142857142858,10,47,107,59,56,25,12,14.16,115,0.07062146892655367,1.568201724066995,0.08712231800372194,0.11074870932676519,0.8392857142857143,2,8,0,0.0,8,8,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppStructures\CppFile.java,226,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFile,474,17678,17784,32,1.2,0.7096774193548387,11,12,3.34375,10,23,107,59,56,25,12,14.16,115,0.07062146892655367,1.568201724066995,0.08712231800372194,0.11074870932676519,0.71875,2,0,0,0.0,8,8,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppStructures\CppFunc.java,237,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc,238,0,0,75,0.0,1.0,0,0,0.0,0,75,0,10,9,5,1,1.0,19,1.0,0.7781512503836436,0.043230625021313536,0.7781512503836436,1.0,0,10,0,44.444447,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppStructures\CppFunc.java,237,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc,484,0,0,9,0.0,1.0,0,0,0.0,0,9,0,10,9,5,1,1.0,19,1.0,0.7781512503836436,0.043230625021313536,0.7781512503836436,1.0,0,0,0,44.444447,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppStructures\CppFuncParam.java,239,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.CppFuncParam,240,13261,13277,7,0.0,1.0,0,0,2.4285714285714284,0,7,17,7,7,5,2,1.4,14,0.7142857142857143,0.8450980400142568,0.046949891111903154,0.6036414571530406,1.0,0,8,0,100.0,0,0,false
