File Name,File Id,Class Name,Method Name,Method Id,StartLine,EndLine,Cyclometric Density,Decision Density,Essential Density,Branch Count,Condition Count,Cyclometric Complexity,Decision Count,Essential Complexity,LOC,Total Operands,Total Operators,Unique Operands Count,Unique Operators Count,Halstead Difficulty,Halstead Length,Halstead Level,Halstead Programming Effort,Halstead Programming Time,Halstead Volume,Maintenance Severity,Formal Parameters,Call Pair Length,Defected?(false/true)
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\OperatorAnalyzer.java,87,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.OperatorAnalyzer,canAddOperand,367,15357,15648,8,1.6,0.0,6,8,4.5,5,1,36,17,25,12,12,8.5,42,0.11764705882352941,1.380211241711606,0.07667840231731143,0.16237779314254186,0.125,1,2,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\OperatorAnalyzer.java,87,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.OperatorAnalyzer,canAddOperator,368,15357,15648,3,0.0,0.0,2,0,5.666666666666667,1,1,17,7,10,5,7,4.8999999999999995,17,0.20408163265306123,1.0791812460476249,0.059954513669312495,0.22024107062196427,0.3333333333333333,1,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\OperatorAnalyzer.java,87,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.OperatorAnalyzer,constructStringLiteral,369,15357,15648,10,2.1666666666666665,0.2222222222222222,6,13,3.0,6,3,30,31,39,11,18,25.36363636363636,70,0.039426523297491044,1.462397997898956,0.08124433321660868,0.05765726873436745,0.3,2,1,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\ParsedObjectManager.java,98,.ParsedObjectManager,getInstance,526,0,0,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\ParsedObjectManager.java,98,.ParsedObjectManager,currentScope.addMember,561,0,0,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\ParsedObjectManager.java,98,.ParsedObjectManager,currentScope.getName,565,0,0,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\ParsedObjectManager.java,98,.ParsedObjectManager,currentFunc.addOperand,721,0,0,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\ParsedObjectManager.java,98,.ParsedObjectManager,currentFunc.addOperator,723,0,0,1,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\PreprocessorPass.java,100,.ParsedObjectManager.PreprocessorPass,PreprocessorPass,102,11142,11289,1,0.0,0.0,0,0,3.0,0,1,3,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\PreprocessorPass.java,100,.ParsedObjectManager.PreprocessorPass,isFunctionLike,103,11142,11289,2,1.0,0.0,1,1,3.5,1,1,7,12,10,11,6,3.272727272727273,22,0.3055555555555555,1.2304489213782739,0.06835827340990411,0.37597050375447255,0.5,1,2,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\PreprocessorPass.java,100,.ParsedObjectManager.PreprocessorPass,process,104,11142,11289,3,2.0,0.0,1,2,3.3333333333333335,1,1,10,11,7,10,4,2.2,18,0.45454545454545453,1.146128035678238,0.06367377975990211,0.5209672889446536,0.3333333333333333,1,3,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\PreprocessorPass.java,100,.ParsedObjectManager.PreprocessorPass,analyze,105,11142,11289,6,1.0,0.6,5,2,3.6666666666666665,2,4,22,16,18,11,10,7.2727272727272725,34,0.1375,1.3222192947339193,0.07345662748521774,0.1818051530259139,0.6666666666666666,1,2,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\PreprocessorPass.java,100,.ParsedObjectManager.PreprocessorPass,handleIf,106,11142,11289,1,0.0,0.0,0,0,4.0,0,1,4,4,3,4,3,1.5,7,0.6666666666666666,0.8450980400142568,0.046949891111903154,0.5633986933428379,1.0,0,1,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\PreprocessorPass.java,100,.ParsedObjectManager.PreprocessorPass,handleInclude,107,11142,11289,5,1.6666666666666667,0.0,3,5,3.2,3,1,16,36,35,17,8,8.470588235294118,71,0.11805555555555555,1.3979400086720377,0.0776633338151132,0.16503458435711557,0.2,0,2,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\PreprocessorPass.java,100,.ParsedObjectManager.PreprocessorPass,handleDefine,108,11142,11289,13,1.4545454545454546,0.16666666666666666,12,16,5.0,11,3,65,92,79,23,16,32.0,171,0.03125,1.591064607026499,0.08839247816813883,0.0497207689695781,0.23076923076923078,0,3,false
